ID	Length	Charge	Aromaticity	InstabilityIndex	IsoelectricPoint	Hydrophobicity	Group	PC1	PC2
AP00001	33	2.762538994114929	0.030303030303030304	7.272727272727273	9.701025199890136	0.196969696969697	Database Mature AMPs	-0.503311526417398	-1.5727467950277645
AP00002	34	3.756085610393297	0.17647058823529413	84.15588235294116	10.446795463562012	-0.9117647058823528	Database Mature AMPs	1.0266408166761332	0.6705339321856894
AP00003	54	2.9415759961607204	0.1111111111111111	57.07407407407407	8.490824699401855	-0.6129629629629628	Database Mature AMPs	0.13499903631572024	0.5796245029292989
AP00004	49	1.9462527002910859	0.12244897959183675	16.722448979591835	8.21019382476807	-0.8489795918367349	Database Mature AMPs	-0.37587240587890036	-0.058206399178939265
AP00005	34	-0.17497097996015487	0.08823529411764706	13.861764705882353	6.731464576721191	0.22058823529411764	Database Mature AMPs	-1.6817226463324957	-0.48739920018642474
AP00006	18	2.8462468017448854	0.05555555555555555	53.16111111111112	11.711342811584473	-1.4055555555555557	Database Mature AMPs	1.4804499596685	-0.3852242301713615
AP00007	18	2.8462468017448854	0.05555555555555555	53.16111111111112	11.711342811584473	-1.4444444444444444	Database Mature AMPs	1.5051425293598666	-0.3640180846530234
AP00008	12	3.7402596343912786	0.0	2.091666666666667	11.526383018493654	1.0333333333333332	Database Mature AMPs	-0.4992555733388874	-2.9216479411891445
AP00009	43	8.759012614090294	0.16279069767441862	132.07930232558138	11.999967765808105	-0.7232558139534885	Database Mature AMPs	2.4017067381435226	1.0754495901409575
AP00010	60	16.759931615889286	0.05	80.59666666666664	11.999967765808105	-1.285	Database Mature AMPs	3.2494949626681753	0.038768652118321145
AP00011	37	1.7658042984765623	0.05405405405405405	19.251351351351357	10.667341804504396	0.01891891891891886	Database Mature AMPs	-0.11524483027324786	-1.3498804336978174
AP00012	13	-0.23796516489564423	0.07692307692307693	20.47692307692308	6.069006156921386	0.8000000000000002	Database Mature AMPs	-2.2257785852575895	-0.7565756187737294
